PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Black Carbon Mass Concentration
Instrument: 7-Wavelength Aethalometer
Channel Info.: 360(Ch 1), 450(Ch 2), 571(Ch 3), 615(Ch 4), 660(Ch 5), 880(Ch 6), and 950(Ch 7)nm
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Raw Data
Units: ug/m^3
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

Yr    Mo  Da   DoY(UTC)      Ch 1      Ch 2      Ch 3      Ch 4      Ch 5      Ch 6      Ch 7      7-Ch Avg.
2006   9   6   249.70833     0.930     0.796     0.809     0.697     0.629     0.606     0.634     0.729
2006   9   6   249.75000     0.817     0.726     0.741     0.647     0.578     0.550     0.594     0.665
2006   9   6   249.79167     0.908     0.842     0.833     0.749     0.709     0.702     0.781     0.789
2006   9   6   249.83333     0.874     0.835     0.866     0.794     0.731     0.707     0.753     0.794
2006   9   6   249.87500     0.750     0.709     0.734     0.662     0.599     0.569     0.604     0.661
2006   9   6   249.91667     0.650     0.635     0.656     0.599     0.548     0.524     0.562     0.596
2006   9   6   249.95833     0.540     0.526     0.553     0.515     0.480     0.466     0.499     0.511
2006   9   7   250.00000     0.534     0.525     0.549     0.515     0.485     0.477     0.507     0.513
2006   9   7   250.04167     0.579     0.599     0.626     0.610     0.593     0.595     0.643     0.607
2006   9   7   250.08333     0.588     0.582     0.600     0.576     0.558     0.566     0.601     0.581
2006   9   7   250.12500     0.723     0.663     0.671     0.624     0.582     0.565     0.582     0.630
2006   9   7   250.16667     0.583     0.546     0.556     0.518     0.479     0.459     0.470     0.516
2006   9   7   250.20833     0.526     0.502     0.512     0.486     0.453     0.446     0.473     0.486
2006   9   7   250.25000     0.479     0.446     0.452     0.417     0.380     0.364     0.372     0.416
2006   9   7   250.29167     0.431     0.424     0.437     0.419     0.396     0.391     0.421     0.417
2006   9   7   250.33333     0.643     0.657     0.678     0.673     0.653     0.653     0.692     0.664
2006   9   7   250.37500     0.586     0.599     0.624     0.620     0.601     0.609     0.652     0.613
2006   9   7   250.41667     0.486     0.491     0.513     0.505     0.488     0.495     0.536     0.502
2006   9   7   250.45833     0.428     0.428     0.451     0.419     0.406     0.419     0.443     0.428
2006   9   7   250.50000     0.428     0.421     0.435     0.417     0.388     0.383     0.416     0.412
2006   9   7   250.54167     0.451     0.442     0.458     0.433     0.413     0.405     0.439     0.434
2006   9   7   250.58333     0.438     0.426     0.443     0.416     0.384     0.374     0.401     0.412
2006   9   7   250.62500     0.412     0.394     0.404     0.388     0.358     0.356     0.393     0.386
2006   9   7   250.66667     0.781     0.688     0.710     0.616     0.567     0.550     0.594     0.644
2006   9   7   250.70833     0.807     0.727     0.760     0.667     0.614     0.590     0.619     0.683
2006   9   7   250.75000     0.713     0.660     0.687     0.612     0.561     0.538     0.575     0.621
2006   9   7   250.79167     0.632     0.615     0.647     0.600     0.563     0.552     0.607     0.602
2006   9   7   250.83333     0.547     0.543     0.574     0.540     0.516     0.510     0.549     0.540
2006   9   7   250.87500     0.511     0.524     0.564     0.543     0.538     0.543     0.593     0.545
2006   9   7   250.91667     0.436     0.444     0.477     0.459     0.454     0.460     0.499     0.461
2006   9   7   250.95833     0.414     0.430     0.455     0.442     0.436     0.448     0.495     0.446
2006   9   8   251.00000     0.547     0.560     0.602     0.588     0.584     0.599     0.645     0.590
2006   9   8   251.04167     0.602     0.635     0.684     0.681     0.684     0.711     0.779     0.682
2006   9   8   251.08333     0.687     0.728     0.788     0.785     0.800     0.843     0.939     0.796
2006   9   8   251.12500     1.050     1.039     1.073     1.080     1.078     1.048     1.073     1.063
2006   9   8   251.16667     0.751     0.723     0.770     0.726     0.710     0.700     0.731     0.730
2006   9   8   251.20833     0.626     0.613     0.651     0.616     0.596     0.599     0.628     0.618
