PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Aerosol Absorption Coefficients at 3 wavelengths
Instrument: 3-Wavelength Particle Soot Absorption Photometer (PSAP)
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Preliminary
Units: Mm^-1
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

                           Kabs_   Kabs_   Kabs_
year  mon day  DoY(UTC)    467nm   530nm   660nm
2006   9   6   249.02083     NaN     NaN     NaN
2006   9   6   249.06250     NaN     NaN     NaN
2006   9   6   249.10417     NaN     NaN     NaN
2006   9   6   249.14583     NaN     NaN     NaN
2006   9   6   249.18750     NaN     NaN     NaN
2006   9   6   249.22917     NaN     NaN     NaN
2006   9   6   249.27083     NaN     NaN     NaN
2006   9   6   249.31250     NaN     NaN     NaN
2006   9   6   249.35417     NaN     NaN     NaN
2006   9   6   249.39583     NaN     NaN     NaN
2006   9   6   249.43750     NaN     NaN     NaN
2006   9   6   249.47917     NaN     NaN     NaN
2006   9   6   249.52083     NaN     NaN     NaN
2006   9   6   249.56250     NaN     NaN     NaN
2006   9   6   249.60417     NaN     NaN     NaN
2006   9   6   249.64583     NaN     NaN     NaN
2006   9   6   249.68750     8.9     7.2     5.4
2006   9   6   249.72917     7.4     5.8     4.1
2006   9   6   249.77083     7.9     6.3     4.5
2006   9   6   249.81250     8.6     6.9     5.1
2006   9   6   249.85417     8.2     6.4     4.5
2006   9   6   249.89583     8.3     6.5     4.6
2006   9   6   249.93750     7.1     5.5     3.9
2006   9   6   249.97917     6.5     5.1     3.6
2006   9   7   250.02083     7.4     6.0     4.6
2006   9   7   250.06250     6.4     5.3     4.0
2006   9   7   250.10417     7.3     6.0     4.6
2006   9   7   250.14583     5.3     4.3     3.2
2006   9   7   250.18750     NaN     NaN     NaN
2006   9   7   250.22917     NaN     NaN     NaN
2006   9   7   250.27083     NaN     NaN     NaN
2006   9   7   250.31250     NaN     NaN     NaN
2006   9   7   250.35417     NaN     NaN     NaN
2006   9   7   250.39583     5.1     4.3     3.2
2006   9   7   250.43750     5.9     4.8     3.7
2006   9   7   250.47917     7.1     5.7     4.2
2006   9   7   250.52083     7.1     5.7     4.2
2006   9   7   250.56250     7.3     5.7     4.1
2006   9   7   250.60417     6.7     5.3     3.9
2006   9   7   250.64583     7.4     5.9     4.3
2006   9   7   250.68750     8.3     6.6     4.8
2006   9   7   250.72917     8.0     6.3     4.5
2006   9   7   250.77083     7.9     6.3     4.5
2006   9   7   250.81250     6.5     5.2     3.9
2006   9   7   250.85417     6.2     5.1     3.9
2006   9   7   250.89583     6.3     5.2     3.9
2006   9   7   250.93750     5.3     4.4     3.5
2006   9   7   250.97917     6.4     5.3     3.9
2006   9   8   251.02083     7.4     6.2     5.0
2006   9   8   251.06250     9.8     8.3     6.6
2006   9   8   251.10417     9.5     8.1     6.6
2006   9   8   251.14583    10.4     9.0     7.4
2006   9   8   251.18750     6.0     5.1     4.1
2006   9   8   251.22917     4.9     4.2     3.5
2006   9   8   251.27083     8.8     7.7     6.5
2006   9   8   251.31250     4.1     3.5     2.9
2006   9   8   251.35417    15.1    13.3    11.1
2006   9   8   251.39583     6.8     5.7     4.3
2006   9   8   251.43750    20.0    16.1    25.3
2006   9   8   251.47917    14.2    12.8    10.5
2006   9   8   251.52083     7.1     6.3     5.2
2006   9   8   251.56250     5.4     4.9     3.9
2006   9   8   251.60417     5.7     5.0     4.1
