PI: Jack Qiang Ji
PI Contact Info:
   Code 613.2
   NASA/Goddard Space Flight Center
   Greenbelt, MD 20771
   ji@climate.gsfc.nasa.gov

Data Info.: Aerosol Scattering Coefficients
Instrument: TSI 3-Wavelength Nephelometer
Platform: COMMIT
Project Info.: NAMMA 2006 study

Temporal Resolution of Current Dataset : 1 hour (average)
Data Status: Preliminary
Units:
   Scattering Coeff.: Mm^-1 
   Angstrom Exponent: non-dimensional
   Relative Humidity: fraction
Latitude: 16.732deg N
Longitude: 22.936deg W
Site Altitude: 80 meter
Stipulations on Use: Use of these data requires PI permission

 DoY(UTC)      Ksca_450nm  Ksca_550nm  Ksca_700nm   Ang.Exp.    RH
 249.02083         NaN         NaN         NaN         NaN      NaN
 249.06250         NaN         NaN         NaN         NaN      NaN
 249.10417         NaN         NaN         NaN         NaN      NaN
 249.14583         NaN         NaN         NaN         NaN      NaN
 249.18750         NaN         NaN         NaN         NaN      NaN
 249.22917         NaN         NaN         NaN         NaN      NaN
 249.27083         NaN         NaN         NaN         NaN      NaN
 249.31250         NaN         NaN         NaN         NaN      NaN
 249.35417         NaN         NaN         NaN         NaN      NaN
 249.39583         NaN         NaN         NaN         NaN      NaN
 249.43750         NaN         NaN         NaN         NaN      NaN
 249.47917         NaN         NaN         NaN         NaN      NaN
 249.52083         NaN         NaN         NaN         NaN      NaN
 249.56250         NaN         NaN         NaN         NaN      NaN
 249.60417         NaN         NaN         NaN         NaN      NaN
 249.64583         NaN         NaN         NaN         NaN      NaN
 249.68750         NaN         NaN         NaN         NaN      NaN
 249.72917         NaN         NaN         NaN         NaN      NaN
 249.77083         NaN         NaN         NaN         NaN      NaN
 249.81250         NaN         NaN         NaN         NaN      NaN
 249.85417         NaN         NaN         NaN         NaN      NaN
 249.89583         NaN         NaN         NaN         NaN      NaN
 249.93750         NaN         NaN         NaN         NaN      NaN
 249.97917         NaN         NaN         NaN         NaN      NaN
 250.02083         NaN         NaN         NaN         NaN      NaN
 250.06250         NaN         NaN         NaN         NaN      NaN
 250.10417         NaN         NaN         NaN         NaN      NaN
 250.14583         NaN         NaN         NaN         NaN      NaN
 250.18750         NaN         NaN         NaN         NaN      NaN
 250.22917         NaN         NaN         NaN         NaN      NaN
 250.27083         NaN         NaN         NaN         NaN      NaN
 250.31250         NaN         NaN         NaN         NaN      NaN
 250.35417         NaN         NaN         NaN         NaN      NaN
 250.39583         NaN         NaN         NaN         NaN      NaN
 250.43750         NaN         NaN         NaN         NaN      NaN
