Date Time(UTC) Hourly_IR_Irradiance_(Wm^-2)
10-Sep-2006 12:00:00 404
10-Sep-2006 13:00:00 407
10-Sep-2006 14:00:00 410
10-Sep-2006 15:00:00 411
10-Sep-2006 16:00:00 427
10-Sep-2006 17:00:00 424
10-Sep-2006 18:00:00 423
10-Sep-2006 19:00:00 406
10-Sep-2006 20:00:00 402
10-Sep-2006 21:00:00 401
10-Sep-2006 22:00:00 399
10-Sep-2006 23:00:00 396
11-Sep-2006 00:00:00 396
11-Sep-2006 01:00:00 395
11-Sep-2006 02:00:00 396
11-Sep-2006 03:00:00 393
11-Sep-2006 04:00:00 389
11-Sep-2006 05:00:00 392
11-Sep-2006 06:00:00 395
11-Sep-2006 07:00:00 390
11-Sep-2006 08:00:00 382
11-Sep-2006 09:00:00 382
11-Sep-2006 10:00:00 386
11-Sep-2006 11:00:00 391
11-Sep-2006 12:00:00 397
11-Sep-2006 13:00:00 403
11-Sep-2006 14:00:00 414
11-Sep-2006 15:00:00 413
11-Sep-2006 16:00:00 404
11-Sep-2006 17:00:00 401
11-Sep-2006 18:00:00 397
11-Sep-2006 19:00:00 392
11-Sep-2006 20:00:00 391
11-Sep-2006 21:00:00 396
11-Sep-2006 22:00:00 400
11-Sep-2006 23:00:00 405
12-Sep-2006 00:00:00 399
12-Sep-2006 01:00:00 409
12-Sep-2006 02:00:00 439
12-Sep-2006 03:00:00 424
12-Sep-2006 04:00:00 417
12-Sep-2006 05:00:00 400
12-Sep-2006 06:00:00 410
12-Sep-2006 07:00:00 422
12-Sep-2006 08:00:00 416
12-Sep-2006 09:00:00 421
12-Sep-2006 10:00:00 422
12-Sep-2006 11:00:00 432
12-Sep-2006 12:00:00 439
12-Sep-2006 13:00:00 420
12-Sep-2006 14:00:00 417
12-Sep-2006 15:00:00 427
12-Sep-2006 16:00:00 418
12-Sep-2006 17:00:00 437
12-Sep-2006 18:00:00 430
12-Sep-2006 19:00:00 428
12-Sep-2006 20:00:00 410
12-Sep-2006 21:00:00 415
12-Sep-2006 22:00:00 419
12-Sep-2006 23:00:00 415
13-Sep-2006 00:00:00 415
13-Sep-2006 01:00:00 420
13-Sep-2006 02:00:00 423
13-Sep-2006 03:00:00 432
13-Sep-2006 04:00:00 419
13-Sep-2006 05:00:00 430
13-Sep-2006 06:00:00 437
13-Sep-2006 07:00:00 408
13-Sep-2006 08:00:00 398
13-Sep-2006 09:00:00 406
13-Sep-2006 10:00:00 444
13-Sep-2006 11:00:00 445
13-Sep-2006 12:00:00 437
13-Sep-2006 13:00:00 411
13-Sep-2006 14:00:00 410
13-Sep-2006 15:00:00 411
13-Sep-2006 16:00:00 419
13-Sep-2006 17:00:00 421
13-Sep-2006 18:00:00 421
13-Sep-2006 19:00:00 419
13-Sep-2006 20:00:00 400
13-Sep-2006 21:00:00 395
13-Sep-2006 22:00:00 397
13-Sep-2006 23:00:00 416
14-Sep-2006 00:00:00 399
14-Sep-2006 01:00:00 395
14-Sep-2006 02:00:00 392
14-Sep-2006 03:00:00 392
14-Sep-2006 04:00:00 394
14-Sep-2006 05:00:00 416
14-Sep-2006 06:00:00 404
14-Sep-2006 07:00:00 395
14-Sep-2006 08:00:00 422
14-Sep-2006 09:00:00 434
14-Sep-2006 10:00:00 420
14-Sep-2006 11:00:00 420
14-Sep-2006 12:00:00 407
14-Sep-2006 13:00:00 420
14-Sep-2006 14:00:00 407
14-Sep-2006 15:00:00 421
14-Sep-2006 16:00:00 413
14-Sep-2006 17:00:00 402
14-Sep-2006 18:00:00 404
14-Sep-2006 19:00:00 405
14-Sep-2006 20:00:00 396
14-Sep-2006 21:00:00 395
14-Sep-2006 22:00:00 392
14-Sep-2006 23:00:00 390
15-Sep-2006 00:00:00 387
15-Sep-2006 01:00:00 388
15-Sep-2006 02:00:00 390
15-Sep-2006 03:00:00 392
15-Sep-2006 04:00:00 387
15-Sep-2006 05:00:00 384
15-Sep-2006 06:00:00 389
15-Sep-2006 07:00:00 391
15-Sep-2006 08:00:00 415
15-Sep-2006 09:00:00 434
15-Sep-2006 10:00:00 419
15-Sep-2006 11:00:00 409
15-Sep-2006 12:00:00 404
15-Sep-2006 13:00:00 409
15-Sep-2006 14:00:00 405
15-Sep-2006 15:00:00 403
15-Sep-2006 16:00:00 404
15-Sep-2006 17:00:00 402
15-Sep-2006 18:00:00 416
15-Sep-2006 19:00:00 401
15-Sep-2006 20:00:00 397
15-Sep-2006 21:00:00 418
15-Sep-2006 22:00:00 438
15-Sep-2006 23:00:00 423
16-Sep-2006 00:00:00 404
16-Sep-2006 01:00:00 396
16-Sep-2006 02:00:00 414
16-Sep-2006 03:00:00 396
16-Sep-2006 04:00:00 420
16-Sep-2006 05:00:00 429
16-Sep-2006 06:00:00 416
16-Sep-2006 07:00:00 417
16-Sep-2006 08:00:00 427
16-Sep-2006 09:00:00 429
16-Sep-2006 10:00:00 434
16-Sep-2006 11:00:00 431
